no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
0,Not Graduate,1,543016,342082,360,563,1337575,0
1,Graduate,0,85890,123081,12,725,495169,1
0,Graduate,1,521353,1548008,120,713,1444287,1
1,Graduate,1,424450,64350,360,756,471144,1
1,Not Graduate,1,855479,640041,240,787,237249,1
0,Not Graduate,0,142594,231524,240,726,204234,0
3,Not Graduate,1,1708565,3927755,36,779,890452,0
2,Graduate,1,523365,552764,12,592,378751,0
3,Not Graduate,1,149539,64645,120,530,133601,0
2,Graduate,1,545197,933616,12,639,732691,0
1,Graduate,1,198561,181212,120,688,337835,1
3,Graduate,0,135550,1446835,60,704,439210,0
0,Graduate,1,191162,1002214,12,737,560400,0
0,Not Graduate,1,330811,2356281,60,814,540353,0
0,Graduate,0,43463,651499,120,744,508922,0
0,Graduate,1,2508412,1225854,240,721,2074814,1
0,Graduate,1,309182,563968,60,647,751098,0
0,Graduate,1,736691,299642,120,802,1431815,1
2,Graduate,1,1160058,1568695,120,737,2984548,0
0,Graduate,1,2391062,157868,60,645,5533337,0
0,Graduate,0,177964,521097,360,601,154246,0
1,Graduate,1,1749998,306028,12,793,2934624,1
0,Graduate,1,1456352,1254307,360,752,1374805,1
2,Not Graduate,1,277257,209676,240,809,662509,1
0,Graduate,1,972624,359032,120,627,2703113,0
4,Not Graduate,1,1438237,564622,12,504,639393,0
2,Not Graduate,1,339354,2392197,120,731,650936,0
0,Not Graduate,1,458718,317262,120,572,613352,0
0,Graduate,1,383634,361894,120,768,1265863,1
2,Graduate,1,1353356,140336,12,710,1250896,1
2,Not Graduate,1,690088,202198,36,840,990315,1
2,Graduate,1,564289,816662,240,714,148410,1
2,Graduate,1,261624,557974,240,596,393293,0
0,Graduate,1,691130,566993,36,757,1470950,1
0,Graduate,1,463206,3082387,120,717,403423,0
0,Not Graduate,1,886176,101490,36,692,1796258,1
2,Graduate,1,292326,5486612,360,735,898437,0
1,Graduate,1,840981,1755518,60,730,766784,1
0,Graduate,1,513414,390118,60,654,1476144,1
0,Graduate,1,268488,799093,12,865,1065110,1
0,Graduate,1,252249,272980,12,847,220234,0
0,Graduate,1,284470,743581,60,706,487271,0
2,Graduate,1,618393,4638230,360,693,980962,1
1,Graduate,1,803551,283144,360,599,884117,0
2,Not Graduate,1,905152,428477,36,763,2031776,1
1,Graduate,1,932889,253529,360,600,819489,1
0,Graduate,1,397591,297713,12,691,488441,1
2,Graduate,1,1700992,361242,36,767,1883287,1
2,Graduate,1,512071,180794,12,900,1286209,1
1,Not Graduate,1,1045619,415146,240,711,2046617,1
2,Not Graduate,1,639649,570479,36,793,957046,1
1,Graduate,1,985098,361078,60,614,1550656,0
1,Graduate,1,614483,54225,60,659,1464460,0
1,Graduate,1,999397,463092,360,662,1560459,1
0,Graduate,0,31810,515415,12,701,430759,0
0,Graduate,1,1398726,3603952,36,586,3309622,0
0,Not Graduate,0,135890,555052,120,674,351176,0
1,Graduate,1,177032,1377231,60,576,404794,0
0,Not Graduate,1,334808,353027,60,803,574041,1
1,Graduate,1,1715362,1979142,36,675,4118518,1
3,Graduate,1,644579,210124,36,650,1693653,1
0,Graduate,1,785165,895367,12,623,345587,0
1,Graduate,0,126041,1252140,360,674,346659,0
2,Graduate,1,768689,1081225,360,739,1558848,1
0,Graduate,1,321820,4705063,120,639,1152929,0
0,Graduate,1,361991,301231,60,725,192467,1
0,Graduate,0,165123,2221700,36,755,654077,0
0,Graduate,1,1041401,1716237,60,701,1787195,1
3,Graduate,1,1134245,567767,120,609,580987,0
2,Graduate,1,1159194,3399915,360,758,2651196,1
1,Graduate,1,204747,466699,360,756,231725,1
2,Graduate,1,725537,552559,240,802,1711975,1
2,Graduate,1,623169,537409,240,736,534067,1
0,Graduate,1,214111,151268,120,635,717266,0
2,Graduate,1,738803,1157200,36,715,1287696,0
1,Not Graduate,1,596991,989938,240,718,973401,1
2,Graduate,1,1098241,486659,36,583,2056961,0
2,Graduate,0,56723,3148808,12,545,442609,0
0,Not Graduate,0,121438,348983,60,761,273091,0
0,Graduate,1,1529742,95817,12,689,1457368,1
0,Graduate,1,123378,3620801,240,659,660635,0
1,Not Graduate,1,692863,1485273,240,778,821638,1
2,Graduate,1,177975,1010586,36,807,692945,0
2,Not Graduate,1,351598,384829,240,637,538268,1
0,Graduate,1,1109978,760773,36,870,2844710,1
1,Graduate,1,263192,153218,120,598,141618,0
1,Not Graduate,1,233520,431428,240,736,831327,1
0,Graduate,1,4903971,218885,120,681,9621718,1
0,Graduate,1,245872,702135,120,817,577603,1
0,Graduate,1,2731650,1360643,360,728,6913817,1
3,Graduate,1,635545,189543,60,662,306665,1
0,Graduate,1,479326,1115610,360,853,1196709,1
1,Graduate,1,1147882,659837,36,674,2550625,1
2,Graduate,1,2124984,1070731,120,724,5369910,1
0,Graduate,1,291602,424121,60,552,818308,0
3,Graduate,1,484949,1092539,240,553,1150819,0
3,Graduate,1,1436177,269464,240,627,1094125,0
0,Graduate,1,918406,100483,120,692,1478903,1
1,Not Graduate,1,1761249,126256,360,846,765007,1
0,Graduate,1,1101396,326842,240,703,1794123,1
0,Graduate,1,3098966,107740,36,793,1852690,1
0,Not Graduate,1,841440,2546861,240,663,2299413,1
1,Not Graduate,0,169884,497409,12,846,512642,0
1,Graduate,1,943524,1354946,240,761,898410,1
0,Not Graduate,1,650833,1187152,120,706,322767,1
0,Graduate,0,66162,543843,60,791,307253,0
3,Not Graduate,1,881722,18560229,36,702,509888,0
0,Graduate,1,1370305,10095953,36,716,1711042,0
0,Graduate,1,1552845,2173593,60,758,558155,1
1,Graduate,1,1027627,218559,36,750,2232934,1
4,Not Graduate,1,1089656,2264731,360,591,1720628,0
0,Graduate,1,325050,94039,120,712,814488,1
1,Graduate,1,469637,2184169,120,789,675756,0
2,Graduate,1,1432177,50000,60,723,2924129,1
0,Not Graduate,1,2278219,392795,120,732,2572516,0
2,Not Graduate,1,154454,1810519,12,782,758089,0
0,Graduate,1,463105,794286,120,763,1255512,1
1,Graduate,0,28651,123182,36,626,268860,0
1,Graduate,1,360980,640688,60,594,498121,0
1,Graduate,1,377748,794623,360,837,708871,1
0,Not Graduate,1,1066545,663169,12,679,2299521,1
2,Graduate,1,2584650,359590,120,665,6008444,1
0,Graduate,1,143564,1270703,12,700,698690,0
0,Graduate,1,636423,1697915,240,825,1654601,1
0,Graduate,1,1056660,463151,240,705,1163798,1
1,Graduate,1,1361600,2469817,12,702,989428,0
1,Graduate,0,173823,462193,240,661,447560,0
0,Graduate,1,2985035,331103,240,621,5484924,0
1,Graduate,1,746480,2098870,240,553,808623,0
0,Graduate,1,2083571,2023669,360,712,3784587,1
1,Graduate,1,434914,290654,360,619,924467,0
0,Graduate,1,764048,251387,60,671,1486177,1
1,Not Graduate,0,89981,3154639,60,668,479289,0
0,Graduate,1,1499573,487642,240,748,1025681,1
3,Graduate,1,662413,542143,36,468,459216,0
0,Graduate,1,971170,419891,240,846,633093,1
0,Graduate,0,71526,2026074,240,731,235214,0
0,Graduate,1,1166061,4611996,240,747,2500055,1
3,Graduate,0,62995,579538,36,620,318308,0
2,Graduate,0,15528,6063041,36,693,326437,0
0,Graduate,1,344753,310361,360,743,96867,1
1,Graduate,1,713391,407256,240,767,1641341,1
2,Not Graduate,1,1236331,1059266,120,764,3444565,1
1,Not Graduate,1,3237514,238711,360,733,6119822,1
1,Graduate,1,929491,1045715,12,674,1975826,1
0,Graduate,1,1633156,321742,60,593,3928930,0
0,Graduate,1,200730,115367,12,688,371320,1
2,Graduate,1,3650463,94607,60,871,6966631,1
3,Graduate,1,1184165,390901,360,594,2859755,0
1,Not Graduate,1,701037,820452,12,574,1175608,0
0,Graduate,1,639372,138525,360,878,1222850,1
0,Not Graduate,1,300811,646023,36,714,835720,1
2,Graduate,1,378121,647854,240,576,741950,0
2,Not Graduate,1,3363015,456963,60,715,871885,1
2,Graduate,1,330643,214004,240,684,402507,1
2,Graduate,0,191462,687101,240,846,359780,0
1,Graduate,1,415909,468674,360,832,1220312,1
0,Graduate,1,279695,1442290,36,742,1001352,0
0,Graduate,1,738403,148329,60,765,1162834,1
2,Graduate,1,1743017,605593,120,694,1585134,1
1,Graduate,0,24638,151472,36,870,385090,1
0,Graduate,1,243127,426311,240,717,309242,1
0,Not Graduate,1,921252,180759,360,650,1570751,1
1,Graduate,1,697585,215932,60,821,1039123,1
0,Graduate,1,1626888,538290,36,733,4233165,1
0,Graduate,1,507064,306929,36,696,1118455,1
1,Not Graduate,1,592362,2342419,120,651,1133223,0
1,Graduate,1,647177,1757081,12,682,614119,0
1,Graduate,1,783246,1208332,60,821,923921,1
0,Graduate,1,532826,1184647,60,708,332664,0
2,Not Graduate,1,468028,615545,60,705,1031194,1
0,Not Graduate,1,165992,1992291,60,555,558137,0
0,Graduate,1,464023,402704,12,693,827463,1
2,Graduate,1,1292615,4499028,36,705,1899952,0
1,Graduate,1,1440061,210619,36,737,3661313,1
2,Graduate,0,65916,174760,360,676,338381,1
1,Graduate,1,2062828,133923,12,746,869308,1
1,Graduate,0,34262,159393,36,768,440069,1
0,Not Graduate,1,250126,105941,12,652,752315,1
0,Graduate,1,194481,669372,12,863,144238,0
0,Graduate,1,1933043,1269104,36,631,4974993,0
0,Graduate,1,541228,559130,360,562,1663735,0
3,Graduate,1,276163,135226,36,759,926283,1
0,Not Graduate,1,119680,337837,12,721,254037,0
2,Graduate,1,531483,1253544,120,759,1199935,1
1,Graduate,0,91571,383874,240,671,526976,1
2,Graduate,1,417419,243194,60,814,503162,1
1,Graduate,1,314080,118921,12,778,594574,1
1,Not Graduate,1,470005,354072,36,900,960940,1
1,Graduate,1,1971989,267650,360,675,2109810,1
0,Not Graduate,1,239333,495650,12,684,656752,1
2,Graduate,1,436541,870113,36,646,974455,0
0,Not Graduate,1,1921479,407390,12,631,4812664,0
0,Graduate,0,3238,650051,36,733,79734,0
1,Not Graduate,1,841803,866316,120,607,1781007,0
0,Graduate,1,434192,157974,360,597,587085,0
3,Graduate,1,747435,3562742,240,723,1582958,1
3,Graduate,1,474367,257447,36,824,1312050,1
3,Graduate,0,55283,905784,360,562,440469,0
0,Graduate,1,307415,173514,120,746,668169,1
0,Graduate,1,1365834,603283,240,668,1277790,1
3,Not Graduate,1,695005,625766,36,549,798072,0
1,Graduate,1,938099,2839388,60,662,1493856,0
3,Not Graduate,1,823516,428215,12,792,1957748,1
3,Not Graduate,1,1037926,1981707,12,770,1257974,0
2,Graduate,1,594945,722489,12,554,1007059,0
0,Graduate,1,496170,3443872,36,711,817403,0
0,Graduate,1,379942,91117,60,815,541247,1
2,Graduate,1,235348,875166,60,840,879421,0
0,Graduate,1,297263,50000,60,696,935709,1
0,Not Graduate,1,544523,509879,360,683,1641799,1
1,Graduate,1,202312,1500025,240,754,627699,0
3,Graduate,1,241390,2293562,360,768,365600,0
1,Graduate,0,104604,1131013,36,652,707047,0
1,Not Graduate,1,872696,404108,120,716,1030502,1
0,Graduate,1,508149,932037,240,689,1299094,1
1,Graduate,1,4489534,6691682,36,768,6122546,0
4,Graduate,0,10327,582671,60,668,74430,0
0,Graduate,1,1591979,1412732,360,617,991995,0
1,Not Graduate,0,56993,351740,36,541,425549,0
2,Not Graduate,1,1366874,1576042,60,740,3034173,1
2,Graduate,1,795847,1337156,120,624,1128057,0
1,Graduate,1,163113,293456,60,688,302938,0
2,Graduate,1,787302,1175619,240,708,526330,1
0,Graduate,1,954024,1232781,36,657,1115031,0
0,Graduate,1,126299,1132505,12,742,332682,0
2,Graduate,1,3454673,518582,60,900,1562386,1
2,Graduate,1,935621,1847035,60,855,1241357,0
2,Not Graduate,1,1248670,212155,12,624,2478072,0
3,Graduate,0,24381,545658,240,646,337099,0
1,Not Graduate,1,1267420,604044,120,635,1752505,0
1,Graduate,1,1743845,1743443,360,572,862891,0
2,Graduate,1,893457,205566,120,726,388765,1
1,Not Graduate,1,723968,687691,240,751,1510032,1
2,Graduate,1,356870,330270,36,725,825340,1
2,Graduate,1,613560,602867,120,727,1392838,1
2,Graduate,1,484259,799941,360,549,255425,0
0,Graduate,0,121588,150478,360,555,228744,0
0,Not Graduate,1,369571,1912765,360,764,839064,1
0,Not Graduate,1,1145922,828880,240,701,2399817,1
1,Graduate,1,372805,228983,360,785,1152817,1
0,Graduate,0,6912,384162,60,627,184283,0
1,Graduate,0,72576,2407733,360,683,407617,0
1,Graduate,1,415385,819009,12,666,1010713,0
0,Graduate,1,1227425,205894,36,845,640215,1
1,Graduate,1,1135286,246839,36,846,605815,1
0,Graduate,1,587269,1009324,360,621,640462,0
0,Graduate,1,1847652,1138014,60,722,975553,1
2,Graduate,1,776248,776743,120,779,1557740,1
0,Graduate,0,166996,403744,36,794,838217,0
0,Graduate,1,3062591,1214306,12,642,6490229,0
1,Not Graduate,1,601366,395580,60,742,1266881,1
2,Not Graduate,1,1221956,229879,36,721,2919835,1
0,Graduate,1,437987,2640858,360,702,1271763,1
1,Graduate,0,164832,880985,60,487,429737,0
0,Not Graduate,1,623829,246522,120,662,342189,1
0,Not Graduate,1,245222,618007,360,677,891114,1
1,Not Graduate,1,344522,555317,240,769,781985,1
1,Graduate,1,1170739,380820,60,690,3184071,1
1,Not Graduate,1,483632,682521,120,817,1630332,1
2,Graduate,1,1287755,213517,36,582,3293773,0
3,Graduate,1,926833,1294506,36,824,2303606,1
1,Not Graduate,1,3207246,537045,120,655,5143005,1
0,Graduate,1,1109555,108071,36,657,2198616,1
2,Not Graduate,1,1778666,430132,36,683,1357949,1
0,Graduate,1,1006015,291890,36,568,223059,0
1,Not Graduate,1,935760,50000,120,717,1285176,1
0,Graduate,1,1852018,462400,360,900,3183130,1
0,Not Graduate,1,1245487,1523891,120,624,3097197,0
3,Graduate,0,85024,485136,60,668,175401,1
2,Graduate,1,859859,1097059,12,760,510001,0
1,Graduate,1,1121955,544974,240,702,3127160,1
1,Graduate,1,426301,342363,360,796,395557,1
0,Graduate,1,412074,259990,360,576,1209549,1
0,Graduate,1,2281456,149822,36,608,1413894,0
0,Graduate,0,132361,1363772,12,730,705756,0
1,Graduate,1,346935,1122140,360,418,941879,0
2,Graduate,1,427113,409097,12,592,487349,0
1,Not Graduate,1,1819401,71377,120,546,1675531,0
0,Graduate,0,172913,866384,120,715,662139,0
3,Graduate,1,1253114,218648,12,666,3097424,1
2,Graduate,1,1494468,623985,120,584,730766,0
1,Graduate,1,601639,115699,60,720,701870,1
1,Graduate,1,949770,592436,60,775,865485,1
1,Graduate,1,892474,473867,240,591,1579812,0
0,Not Graduate,1,367032,50000,240,697,670917,1
0,Graduate,1,938532,2724944,360,728,2390903,1
2,Graduate,1,1963361,390157,360,758,2426729,1
0,Graduate,1,558323,416952,240,573,509683,0
0,Graduate,1,824106,922347,360,620,1087271,0
0,Graduate,1,860584,513667,36,696,1765957,1
0,Not Graduate,1,580861,777609,60,705,1323192,1
2,Graduate,1,1253588,172063,36,900,628046,1
2,Graduate,1,423347,468746,60,777,609469,1
1,Graduate,1,2118283,80072,360,673,2678600,1
0,Not Graduate,0,199283,426067,12,679,458556,0
1,Graduate,0,67008,2292303,36,683,487712,0
1,Graduate,1,2837425,119852,240,603,7352668,0
0,Graduate,1,834410,380503,60,683,1040863,1
1,Graduate,1,409070,64606,360,878,707054,1
0,Not Graduate,0,140935,544676,240,490,318715,0
1,Graduate,1,1083532,861279,120,711,2733849,1
1,Graduate,1,176739,792918,60,884,577981,0
0,Not Graduate,1,479007,296005,360,856,1293828,1
0,Graduate,0,142679,63312,360,785,536924,1
1,Graduate,1,129617,156129,60,714,508887,1
1,Graduate,1,780785,1898311,240,786,2154065,1
2,Graduate,1,827681,1301436,240,737,1830136,1
1,Graduate,1,283001,493195,240,853,1138973,1
0,Not Graduate,1,905747,635579,60,771,853670,1
0,Graduate,0,174279,193373,12,646,477942,0
1,Graduate,0,170945,1964273,120,876,608717,0
0,Not Graduate,1,1522171,263247,360,690,1580086,1
1,Graduate,1,1425856,836745,240,619,805069,1
3,Graduate,1,578509,143214,360,740,334015,1
1,Graduate,1,622273,452160,12,782,1671953,1
0,Not Graduate,0,79827,1883113,360,702,482355,0
1,Not Graduate,1,621237,209623,240,724,1839781,1
1,Not Graduate,1,155635,1143217,60,852,326606,0
1,Not Graduate,0,155276,183364,12,693,494575,1
3,Graduate,1,380557,219276,360,776,629415,1
0,Graduate,1,533986,535536,60,811,1104166,1
3,Not Graduate,0,113811,1427792,36,645,546557,0
3,Graduate,1,655279,401039,240,707,448971,1
0,Graduate,1,730429,1003069,120,835,1878355,1
0,Graduate,1,1096609,1696597,12,805,2745314,1
0,Graduate,1,1092814,249908,36,663,1021254,1
0,Not Graduate,1,349633,117575,240,687,852781,1
0,Graduate,1,695065,378694,36,403,856152,0
1,Graduate,1,750820,1930111,12,803,2280281,0
0,Not Graduate,1,906749,239747,120,756,1062654,1
0,Graduate,1,919308,1490988,12,560,2100858,0
2,Graduate,1,5000000,415608,120,770,5737656,1
0,Graduate,0,22647,3128962,360,725,138856,0
2,Not Graduate,1,1597696,5103423,60,765,3883427,0
0,Not Graduate,1,1879846,1515813,240,759,3448556,1
0,Not Graduate,1,1081897,104130,36,694,772843,1
1,Graduate,1,433543,50000,60,596,890059,0
1,Graduate,1,2762742,574455,240,661,6303026,1
2,Not Graduate,1,126299,1337951,36,664,489937,0
2,Not Graduate,1,422264,891811,60,556,831656,0
2,Graduate,1,1862342,262080,240,713,5104373,1
0,Graduate,0,21396,122273,240,769,385779,1
0,Not Graduate,1,2616038,1369273,60,634,1660449,0
2,Not Graduate,0,29068,3466300,12,735,123314,0
2,Not Graduate,1,299634,276493,120,760,656585,1
4,Not Graduate,1,476722,1233310,360,762,1429143,1
1,Graduate,1,1018579,7296709,120,641,2402986,0
0,Graduate,1,610713,446984,360,900,1554501,1
2,Graduate,0,179377,456121,360,712,286022,0
0,Graduate,1,2272331,945748,360,605,3367739,0
3,Graduate,1,2447936,406625,12,673,5343865,1
2,Graduate,1,523606,2062094,240,580,1447864,0
1,Graduate,1,185755,360768,36,673,129619,0
2,Graduate,1,129834,523844,12,815,573273,0
2,Graduate,1,883310,127714,240,754,1467102,1
0,Graduate,1,1232758,426947,60,845,1549473,1
3,Graduate,1,767119,197288,60,724,1213413,1
1,Graduate,0,139884,763802,360,815,362783,0
2,Graduate,1,383220,102310,240,598,1322367,0
0,Not Graduate,1,1231796,1439616,360,613,2700831,0
2,Graduate,1,2792780,226121,60,744,3196092,1
0,Graduate,0,61962,3217543,120,783,489375,0
0,Graduate,1,685565,2128136,12,777,1134092,0
3,Graduate,1,335615,923240,120,610,335010,0
0,Graduate,1,221378,116077,240,839,377231,1
0,Not Graduate,1,295380,288402,12,523,606079,0
3,Not Graduate,1,988296,220512,60,849,2760424,1
3,Graduate,1,1008495,249914,12,597,773580,0
1,Graduate,1,2346018,2615028,12,844,2033890,0
1,Not Graduate,1,734558,463868,60,655,1551733,1
1,Not Graduate,1,178692,279885,360,723,264430,1
0,Graduate,1,602874,255784,36,701,235445,1
0,Graduate,0,178999,317477,60,579,547982,0
1,Graduate,0,97460,920451,120,717,708762,0
2,Graduate,1,1160599,106181,360,606,2087687,0
2,Graduate,1,852002,596108,36,657,1652066,1
2,Graduate,1,1167123,825336,120,900,1230064,1
0,Graduate,1,547986,95285,240,724,1643518,1
1,Graduate,1,1372883,130937,120,675,2065630,1
0,Not Graduate,0,51484,515190,360,777,539315,0
1,Not Graduate,1,1782177,2282958,360,758,3292039,1
1,Graduate,1,960982,1798975,360,620,1525697,0
2,Not Graduate,1,618098,294057,12,615,788158,0
0,Graduate,1,864299,2211736,360,818,2011310,1
0,Not Graduate,1,719068,392531,360,732,637634,1
0,Graduate,0,77320,389178,240,892,532840,1
2,Graduate,1,887665,593632,36,545,1647273,0
1,Graduate,1,728475,1251013,120,817,1346775,1
0,Graduate,1,602719,293902,240,752,785431,1
0,Not Graduate,1,1431949,362924,120,621,1215269,0
2,Graduate,1,1285078,155101,12,749,2456076,1
0,Graduate,1,585913,767601,12,596,1658755,0
2,Graduate,1,289377,1374140,36,749,728717,0
2,Graduate,1,354486,1460989,60,801,339288,0
0,Graduate,1,629492,137780,360,694,307055,0
0,Graduate,1,2146055,368465,60,682,3347748,1
4,Not Graduate,1,597111,1877530,12,634,729033,0
0,Not Graduate,1,453477,681580,240,799,674739,1
0,Not Graduate,1,178335,559111,36,724,658087,0
2,Graduate,1,2448125,546086,120,676,4734198,1
3,Graduate,1,1149942,928623,120,831,1393973,1
4,Graduate,1,1378915,719215,240,813,2685735,1
2,Graduate,1,1574345,303948,60,709,3976823,1
0,Graduate,1,639355,1304146,12,716,716384,0
0,Not Graduate,0,174158,162285,12,799,594758,1
2,Graduate,0,117320,2027115,36,709,554354,0
1,Not Graduate,0,84325,220586,12,588,378700,0
1,Not Graduate,1,1167085,934614,60,725,846917,1
3,Not Graduate,1,1463645,458280,60,768,2651871,1
0,Not Graduate,1,1219980,335582,240,815,934299,1
1,Graduate,1,658332,2100258,36,853,2006690,0
0,Graduate,1,709909,1135866,36,879,1051592,0
1,Graduate,1,1358799,509430,12,683,1637926,1
0,Graduate,1,1357020,3094606,360,712,2529522,1
0,Graduate,1,1857210,1439417,120,565,843188,0
0,Graduate,1,1133564,241475,36,650,367280,1
1,Graduate,1,1175594,56367,12,565,1726112,0
2,Not Graduate,1,510432,601306,120,837,334555,1
1,Not Graduate,1,458208,2155424,12,709,222355,0
3,Graduate,0,75287,995151,240,724,583343,0
0,Graduate,1,460768,2607659,36,777,859976,0
0,Graduate,1,717436,297059,12,711,989981,1
2,Graduate,0,125558,480592,240,723,703702,1
0,Not Graduate,1,1936622,492405,12,679,3418661,1
3,Graduate,1,928597,687777,60,735,2092533,1
0,Graduate,1,575554,1164081,12,818,551018,0
3,Not Graduate,1,660859,2764498,60,870,607534,0
0,Not Graduate,1,1460264,3411607,36,650,2590115,0
2,Graduate,1,708425,2860682,12,798,2112561,0
1,Graduate,1,466668,1055031,240,597,1016322,0
4,Graduate,1,1929207,383761,36,597,3631464,0
0,Graduate,1,843470,677319,36,670,1117925,1
1,Graduate,1,459638,1040521,360,665,1112109,1
3,Graduate,1,1069981,618509,60,675,2195172,1
1,Graduate,1,1586395,216686,36,680,2218878,1
1,Graduate,1,325742,340315,12,756,613882,1
1,Graduate,1,621341,1287279,12,825,1525528,0
1,Not Graduate,0,6122,422311,60,865,12360,0
1,Graduate,1,1047408,553586,12,771,735586,1
1,Graduate,1,1209365,499607,360,818,2129796,1
3,Not Graduate,1,469217,221416,60,637,711289,0
0,Graduate,1,220973,455307,120,778,101628,1
0,Not Graduate,1,1665172,341868,60,660,2232417,1
3,Graduate,1,297760,270544,240,808,1005746,1
2,Graduate,1,906138,187529,240,745,945088,1
1,Graduate,0,26044,488647,360,735,111752,0
1,Graduate,1,830642,1002663,12,650,2140686,1
0,Graduate,1,2733209,1657100,120,658,6776335,1
0,Graduate,1,5000000,134034,240,582,1433218,0
1,Graduate,1,197451,2693639,240,658,645460,0
0,Graduate,0,26538,724288,240,645,54283,0
1,Graduate,1,643708,175075,12,642,606286,0
0,Graduate,1,1686698,360880,36,676,3268212,1
3,Graduate,1,1568782,82670,36,893,2161755,1
4,Graduate,1,2253050,106749,360,844,1639618,1
1,Graduate,1,916183,3021986,36,833,1774879,0
1,Graduate,1,358018,268524,360,665,466855,1
0,Graduate,1,1532053,924392,12,712,2610090,1
2,Graduate,1,801626,483501,36,675,1078060,1
1,Not Graduate,1,604964,550074,360,608,656795,0
0,Graduate,1,498331,780763,60,709,143620,1
3,Graduate,1,1631594,67237,12,732,1075639,1
2,Graduate,1,2630529,2019866,12,803,6231641,1
3,Graduate,1,280328,489573,120,720,332582,0
2,Graduate,1,1199675,326347,240,506,2626052,0
1,Graduate,1,541495,862858,120,637,1044685,0
1,Graduate,1,225524,262729,36,663,891152,1
3,Graduate,0,178171,665445,12,568,649817,0
2,Graduate,1,374553,457989,360,662,500923,1
0,Graduate,1,206446,1100208,12,787,609449,0
0,Graduate,1,390275,436286,36,663,831974,1
0,Graduate,1,320545,192910,360,773,559704,1
2,Graduate,0,109516,776336,240,716,565577,0
4,Graduate,0,91587,412250,120,786,468815,0
0,Graduate,1,531728,87465,240,587,1507972,0
1,Graduate,1,412256,658458,36,749,779403,0
0,Graduate,1,985092,315702,120,650,2306159,1
3,Not Graduate,1,1172713,763567,120,820,1310333,1
2,Graduate,1,898173,229796,240,601,364575,0
2,Graduate,1,604190,161719,240,803,532339,1
1,Not Graduate,1,591287,1758768,12,710,448672,0
1,Graduate,0,103781,1255629,12,738,550259,0
0,Graduate,0,116295,536821,240,720,451837,0
0,Not Graduate,0,6970,837157,360,559,317457,0
2,Graduate,1,178481,1215194,36,764,426269,0
2,Graduate,1,683799,534886,240,693,1448449,1
4,Not Graduate,1,563079,161376,360,822,1696389,1
4,Not Graduate,1,1177972,729029,12,758,943685,1
1,Graduate,1,233278,1472131,120,786,321342,0
2,Graduate,1,736735,977918,360,695,662506,1
3,Graduate,1,959710,573379,36,757,1200949,1
2,Graduate,1,158929,951020,12,774,310663,0
0,Graduate,1,308827,432248,36,799,479160,0
1,Graduate,1,677773,1535206,36,783,255701,0
0,Graduate,1,1100546,2078548,120,812,2057687,1
3,Graduate,1,844077,147829,360,646,436163,0
1,Graduate,1,1142081,1649420,12,703,967065,0
0,Graduate,0,121151,5062061,240,677,246232,0
