no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
5,Graduate,0,3600000,7700000,16,830,2900000,Approved,2900000,2.1388882947532513,2.655171498216725
3,Not Graduate,1,1500000,5100000,6,352,900000,Rejected,900000,3.3999977333348443,5.666660370377366
1,Graduate,0,7800000,18100000,2,712,9000000,Approved,9000000,2.320512523011215,2.011110887654346
2,Not Graduate,0,9100000,24900000,16,822,5200000,Approved,5200000,2.7362634355754465,4.788460617603727
3,Graduate,0,1400000,3400000,6,540,800000,Rejected,800000,2.42856969387879,4.249994687506641
2,Graduate,1,800000,2300000,12,342,800000,Rejected,800000,2.874996406254492,2.874996406254492
5,Graduate,0,6500000,13400000,18,787,5400000,Approved,5400000,2.061538144378747,2.481481021947959
4,Graduate,0,8000000,27800000,16,331,10900000,Rejected,10900000,3.4749995656250543,2.5504584816093137
3,Not Graduate,1,4200000,14600000,6,679,4900000,Approved,4900000,3.476189648526274,2.979591228654851
1,Graduate,1,4900000,19100000,14,677,6500000,Approved,6500000,3.8979583881717574,2.938461086390602
3,Not Graduate,0,5500000,20500000,12,634,8200000,Approved,8200000,3.7272720495869,2.4999996951219883
1,Not Graduate,1,9500000,19100000,16,662,11700000,Approved,11700000,2.0105261041551468,1.6324784929505562
4,Graduate,0,7300000,25400000,16,502,10500000,Rejected,10500000,3.479451578157318,2.4190473886621535
2,Graduate,0,8700000,24700000,10,435,11300000,Rejected,11300000,2.839080133439065,2.185840514527388
5,Not Graduate,0,3800000,7600000,4,689,3400000,Approved,3400000,1.999999473684349,2.2352934602078056
1,Not Graduate,1,8400000,23000000,12,657,8200000,Approved,8200000,2.738094912131558,2.804877706722231
2,Graduate,1,5100000,19700000,20,590,3400000,Approved,3400000,3.8627443406383644,5.794115942907076
5,Not Graduate,0,6700000,24500000,12,818,6200000,Approved,6200000,3.6567158721319593,3.9516122658689894
2,Not Graduate,0,4300000,10600000,18,431,5200000,Rejected,5200000,2.465115705787045,2.0384611464497797
5,Graduate,1,9300000,30500000,18,841,8700000,Approved,8700000,3.279569539831232,3.505746723477388
1,Graduate,0,7400000,18400000,20,421,4100000,Rejected,4100000,2.4864861504748443,4.487803783462492
4,Not Graduate,1,5500000,18200000,16,797,4800000,Approved,4800000,3.309090307438126,3.7916658767362756
2,Not Graduate,0,8500000,18900000,18,478,11400000,Rejected,11400000,2.223529150173041,1.6578945914127552
3,Not Graduate,1,9600000,30500000,18,669,9300000,Approved,9300000,3.1770830023871874,3.279569539831232
5,Not Graduate,1,8800000,28900000,6,365,4700000,Rejected,4700000,3.2840905358988026,6.148934861928753
3,Not Graduate,1,3300000,7500000,20,586,2900000,Approved,2900000,2.2727265840222475,2.58620600475655
4,Graduate,1,3900000,12300000,18,784,2800000,Approved,2800000,3.15384534516786,4.392855573980152
1,Graduate,0,4100000,10300000,12,364,2800000,Rejected,2800000,2.5121945092208513,3.6785701147963876
3,Not Graduate,0,8300000,29100000,10,715,11900000,Approved,11900000,3.5060236739730515,2.445377945766559
0,Not Graduate,1,2700000,10100000,20,693,1400000,Rejected,1400000,3.74073935528172,7.21428056122817
4,Graduate,0,5600000,12400000,4,777,5500000,Approved,5500000,2.2142853188776215,2.254545044628174
0,Graduate,0,1900000,5000000,12,312,2400000,Rejected,2400000,2.6315775623275988,2.0833324652781395
4,Not Graduate,1,500000,1500000,20,340,600000,Rejected,600000,2.999994000012,2.499995833340278
5,Graduate,1,5300000,18600000,4,386,4200000,Approved,4200000,3.5094333001069247,4.428570374149911
5,Not Graduate,0,7000000,18300000,4,418,7600000,Rejected,7600000,2.6142853408163798,2.4078944200138923
3,Not Graduate,1,5800000,16700000,16,735,5600000,Approved,5600000,2.8793098483948536,2.982142324617442
2,Not Graduate,0,2600000,8400000,6,494,2000000,Rejected,2000000,3.2307679881661584,4.19999790000105
2,Not Graduate,0,1900000,6500000,18,671,1100000,Approved,1100000,3.4210508310258785,5.909085537194966
4,Graduate,0,5700000,14800000,16,697,6300000,Approved,6300000,2.5964907725454784,2.3492059763165116
0,Graduate,0,9000000,33500000,8,801,11100000,Approved,11100000,3.722221808642021,3.0180177461245274
2,Not Graduate,0,8500000,29400000,12,576,9000000,Approved,9000000,3.4588231224913972,3.2666663037037442
0,Not Graduate,0,700000,1400000,14,639,900000,Approved,900000,1.9999971428612244,1.5555538271624143
4,Graduate,0,3500000,8900000,4,470,2000000,Rejected,2000000,2.542856416326738,4.449997775001113
0,Not Graduate,0,8800000,31200000,4,826,8600000,Approved,8600000,3.545454142562029,3.6279065548945866
2,Not Graduate,1,9900000,21200000,16,363,6800000,Rejected,6800000,2.1414139251097044,3.117646600346088
3,Graduate,0,3600000,8600000,20,613,3300000,Approved,3300000,2.3888882253088264,2.60605981634551
3,Not Graduate,1,3000000,8200000,16,713,3400000,Approved,3400000,2.7333324222225257,2.411763996540001
2,Graduate,0,6800000,21200000,16,439,3600000,Rejected,3600000,3.117646600346088,5.8888872530868746
5,Not Graduate,1,1100000,3800000,18,387,1600000,Rejected,1600000,3.454542314052442,2.374998515625928
1,Not Graduate,1,8700000,28300000,8,402,10200000,Rejected,10200000,3.2528731893249208,2.77450953191083
4,Graduate,1,2000000,8000000,6,837,2900000,Approved,2900000,3.999998000001,2.7586197384069866
2,Not Graduate,0,9800000,37600000,10,641,7600000,Approved,7600000,3.836734302374051,4.947367770083188
4,Graduate,0,5700000,21100000,18,489,6000000,Rejected,6000000,3.701753736534432,3.516666080555653
4,Graduate,0,8800000,20700000,18,540,12700000,Rejected,12700000,2.3522724599690386,1.629921131502273
4,Graduate,0,3800000,8900000,4,844,4700000,Approved,4700000,2.3421046468145668,1.893616618379443
1,Graduate,0,1700000,6400000,10,452,2100000,Rejected,2100000,3.764703667821372,3.0476175963725733
2,Graduate,0,1000000,2000000,10,366,1300000,Rejected,1300000,1.999998000002,1.538460355030496
5,Graduate,0,300000,1100000,2,300,400000,Approved,400000,3.666654444485185,2.7499931250171876
2,Graduate,1,6600000,15000000,18,470,7000000,Rejected,7000000,2.272726928374708,2.1428568367347376
2,Not Graduate,0,8700000,25000000,20,861,7300000,Approved,7300000,2.87356288809622,3.4246570651154706
4,Graduate,0,9400000,29400000,12,562,7100000,Approved,7100000,3.1276592417383786,4.140844487205002
0,Graduate,0,4400000,10800000,14,463,4700000,Rejected,4700000,2.4545448966943417,2.297871851516627
4,Not Graduate,0,400000,900000,12,478,100000,Rejected,100000,2.2499943750140625,8.999910000899991
2,Not Graduate,1,300000,1100000,2,702,200000,Approved,200000,3.666654444485185,5.499972500137499
2,Not Graduate,1,4300000,12900000,20,618,2400000,Approved,2400000,2.999999302325744,5.3749977604176
4,Graduate,0,1600000,4500000,12,633,1900000,Approved,1900000,2.8124982421885987,2.3684198060948387
5,Not Graduate,1,6200000,23600000,10,331,8700000,Rejected,8700000,3.8064509989595163,2.7126433663628315
3,Not Graduate,1,4200000,9700000,16,841,5100000,Approved,5100000,2.309523259637319,1.9019604113803115
4,Not Graduate,1,9000000,18100000,12,764,11600000,Approved,11600000,2.011110887654346,1.5603446930737332
0,Graduate,0,2700000,10600000,6,591,1800000,Approved,1800000,3.925924471879825,5.888885617285768
1,Graduate,1,9700000,35900000,2,719,10900000,Approved,10900000,3.701030546285511,3.2935776794882865
2,Graduate,0,3300000,6800000,14,317,3600000,Rejected,3600000,2.060605436180171,1.8888883641976766
0,Not Graduate,0,300000,1100000,8,778,100000,Approved,100000,3.666654444485185,10.999890001099988
3,Graduate,1,7400000,18200000,14,302,5000000,Rejected,5000000,2.459459127100118,3.6399992720001455
5,Not Graduate,0,7100000,19700000,8,502,9800000,Rejected,9800000,2.7746474965285217,2.0102038765098085
5,Not Graduate,1,7300000,22100000,18,879,9800000,Approved,9800000,3.027396845562076,2.2551018107038967
1,Not Graduate,0,8400000,23400000,14,437,8100000,Rejected,8100000,2.785713954081672,2.888888532235984
0,Not Graduate,1,3300000,10800000,12,797,3300000,Approved,3300000,3.272726280992036,3.272726280992036
4,Not Graduate,1,5800000,23200000,18,456,7500000,Rejected,7500000,3.9999993103449465,3.093332920888944
0,Not Graduate,0,600000,1600000,6,647,700000,Approved,700000,2.6666622222296295,2.285711020412828
0,Not Graduate,0,7200000,15800000,12,379,3600000,Rejected,3600000,2.1944441396605363,4.388887669753425
1,Not Graduate,1,9100000,32900000,2,717,5900000,Approved,5900000,3.6153842180896465,5.576270241310128
5,Graduate,0,900000,2300000,16,545,800000,Rejected,800000,2.5555527160525378,2.874996406254492
2,Graduate,0,800000,3200000,8,317,900000,Rejected,900000,3.99999500000625,3.555551604942661
1,Not Graduate,0,8500000,32900000,10,570,5500000,Approved,5500000,3.8705877799308492,5.9818170942150735
0,Not Graduate,1,9000000,18700000,18,865,11300000,Approved,11300000,2.0777775469136057,1.6548671101887513
3,Graduate,0,7000000,19500000,14,719,10200000,Approved,10200000,2.785713887755159,1.911764518454459
3,Graduate,0,200000,600000,16,821,100000,Approved,100000,2.9999850000749997,5.999940000599994
4,Not Graduate,1,400000,800000,10,859,200000,Approved,200000,1.9999950000125,3.9999800000999994
3,Not Graduate,0,5100000,18200000,10,395,6300000,Rejected,6300000,3.568626751249657,2.88888843033517
2,Not Graduate,1,700000,2600000,12,429,800000,Rejected,800000,3.7142804081708456,3.249995937505078
3,Graduate,0,400000,1200000,12,861,200000,Approved,200000,2.99999250001875,5.999970000149999
0,Not Graduate,1,9500000,20800000,14,565,13400000,Approved,13400000,2.1894734537396365,1.5522386901314411
5,Graduate,0,8800000,22600000,10,357,4900000,Rejected,4900000,2.5681815263430083,4.612243956684907
3,Not Graduate,1,1800000,3600000,18,465,2600000,Rejected,2600000,1.9999988888895062,1.3846148520712107
4,Not Graduate,1,6800000,13900000,8,479,9600000,Rejected,9600000,2.0441173464533313,1.4479165158420295
3,Not Graduate,0,1500000,5500000,16,717,1300000,Approved,1300000,3.6666642222238517,4.230765976333864
3,Graduate,0,1600000,5500000,12,425,900000,Rejected,900000,3.4374978515638426,6.1111043209951985
2,Not Graduate,0,4600000,16700000,2,786,6100000,Approved,6100000,3.6304339933839147,2.7377044692287757
5,Not Graduate,1,2200000,6700000,6,382,1100000,Rejected,1100000,3.045453161157654,6.090903553724042
3,Not Graduate,1,2900000,8500000,12,564,1800000,Approved,1800000,2.9310334720574236,4.722219598766889
0,Graduate,0,200000,700000,8,501,100000,Rejected,100000,3.4999825000874996,6.999930000699993
2,Not Graduate,1,2500000,9400000,10,727,3300000,Approved,3300000,3.7599984960006014,2.848483985307883
4,Not Graduate,0,3600000,7500000,6,894,2800000,Approved,2800000,2.08333275462979,2.6785704719391172
0,Graduate,1,5500000,16700000,18,829,5900000,Approved,5900000,3.036363084297621,2.8305079948291536
4,Not Graduate,0,6600000,17400000,20,506,7200000,Rejected,7200000,2.636363236914661,2.416666331018565
2,Graduate,1,8600000,32100000,6,802,9800000,Approved,9800000,3.732557705516546,3.2755098698459317
5,Not Graduate,0,600000,1500000,14,543,300000,Rejected,300000,2.499995833340278,4.999983333388888
3,Graduate,1,1400000,3200000,20,772,1600000,Approved,1600000,2.2857126530623906,1.9999987500007812
3,Graduate,0,4000000,11100000,12,572,2400000,Approved,2400000,2.7749993062501734,4.62499807291747
0,Not Graduate,1,4900000,11900000,16,709,3800000,Approved,3800000,2.4285709329447074,3.131578123268915
5,Graduate,0,2000000,6200000,18,402,1100000,Rejected,1100000,3.099998450000775,5.636358512401352
1,Not Graduate,1,5200000,19300000,8,481,4200000,Rejected,4200000,3.711537747781202,4.5952370011340475
5,Graduate,1,8900000,28800000,6,772,8400000,Approved,8400000,3.2359546925893605,3.428571020408212
1,Graduate,1,6500000,20600000,2,306,3200000,Approved,3200000,3.16923028165688,6.437497988281879
2,Not Graduate,0,1300000,4500000,6,415,1200000,Rejected,1200000,3.461535798818616,3.749996875002604
3,Not Graduate,0,9400000,35000000,16,548,4800000,Rejected,4800000,3.7234038592123553,7.291665147569761
5,Not Graduate,0,5000000,11200000,8,701,4600000,Approved,4600000,2.2399995520000897,2.4347820793952
2,Graduate,0,3000000,7700000,12,890,2100000,Approved,2100000,2.5666658111113962,3.666664920635752
5,Not Graduate,1,9900000,33300000,6,364,8300000,Rejected,8300000,3.363636023875149,4.012047709391842
5,Graduate,1,700000,1300000,20,704,600000,Approved,600000,1.8571402040854228,2.1666630555615742
3,Graduate,1,4000000,10600000,10,318,4900000,Rejected,4900000,2.649999337500166,2.1632648646398236
5,Not Graduate,0,3100000,9600000,2,761,4200000,Approved,4200000,3.096773194589292,2.2857137414967283
4,Not Graduate,0,4500000,15100000,6,693,6000000,Approved,6000000,3.355554809876709,2.5166662472222923
3,Not Graduate,0,9700000,20600000,16,524,6100000,Rejected,6100000,2.123711121266895,3.3770486267133397
2,Not Graduate,1,2000000,5300000,10,681,2900000,Approved,2900000,2.6499986750006626,1.8275855766946287
2,Graduate,1,8100000,22300000,18,737,7300000,Approved,7300000,2.7530860798659162,3.0547941020829996
0,Not Graduate,0,5700000,15900000,16,638,4500000,Approved,4500000,2.789473194829264,3.5333325481483224
4,Not Graduate,0,5800000,12800000,2,656,2800000,Approved,2800000,2.206896171224798,4.571426938776093
1,Graduate,0,1800000,6500000,6,540,1100000,Rejected,1100000,3.611109104939386,5.909085537194966
4,Not Graduate,1,9100000,35200000,6,341,8200000,Rejected,8200000,3.8681314430624787,4.292682403331415
0,Not Graduate,1,4800000,17500000,2,371,3500000,Approved,3500000,3.6458325737848805,4.999998571428979
3,Not Graduate,1,3800000,10500000,12,886,2300000,Approved,2300000,2.763157167590219,4.565215406428084
0,Not Graduate,0,1900000,4100000,18,801,1200000,Approved,1200000,2.157893601108631,3.4166638194468173
3,Not Graduate,1,3600000,9500000,16,748,2600000,Approved,2600000,2.638888155864401,3.6538447485212506
2,Not Graduate,1,7400000,28200000,8,376,5200000,Rejected,5200000,3.8108102958364465,5.4230758801777155
4,Not Graduate,1,6600000,14300000,8,371,7400000,Rejected,7400000,2.1666663383838882,1.9324321712929498
2,Graduate,0,1800000,5300000,6,826,1300000,Approved,1300000,2.944442808642884,4.076919940830814
4,Not Graduate,0,9200000,27200000,12,873,11400000,Approved,11400000,2.956521417769411,2.3859647029855524
5,Not Graduate,1,2400000,8600000,8,309,2800000,Rejected,2800000,3.5833318402784,3.0714274744901875
4,Not Graduate,0,5600000,13300000,20,869,6500000,Approved,6500000,2.3749995758929328,2.046153531360995
5,Graduate,0,3800000,13900000,12,534,2800000,Rejected,2800000,3.6578937742384805,4.964283941327164
3,Not Graduate,1,4500000,17900000,6,787,4200000,Approved,4200000,3.977776893827357,4.261903747165775
0,Graduate,1,900000,2200000,16,566,600000,Approved,600000,2.4444417283980795,3.6666605555657408
0,Not Graduate,0,2800000,9900000,8,742,1700000,Approved,1700000,3.5357130229596345,5.823525986161185
2,Not Graduate,0,7500000,23100000,4,824,9500000,Approved,9500000,3.0799995893333882,2.4315786914127693
4,Graduate,0,1400000,3100000,14,575,1400000,Approved,1400000,2.214284132654191,2.214284132654191
2,Graduate,1,3800000,10900000,10,766,3000000,Approved,3000000,2.868420297784132,3.633332122222626
1,Not Graduate,1,1700000,5000000,10,888,2200000,Approved,2200000,2.941174740485447,2.272726239669891
3,Graduate,1,9000000,30400000,6,638,9200000,Approved,9200000,3.3777774024691776,3.304347466918754
5,Not Graduate,1,7300000,23300000,6,622,10500000,Approved,10500000,3.1917803846876187,2.2190474077097706
1,Not Graduate,0,7400000,19800000,18,458,4000000,Rejected,4000000,2.6756753140979304,4.949998762500309
1,Not Graduate,0,9000000,28200000,16,327,11200000,Rejected,11200000,3.133332985185224,2.5178569180484893
0,Not Graduate,0,3000000,6500000,2,612,1700000,Approved,1700000,2.166665944444685,3.823527162631081
1,Graduate,0,800000,2900000,8,682,700000,Approved,700000,3.6249954687556643,4.1428512244982505
2,Graduate,0,4800000,13200000,2,583,5200000,Approved,5200000,2.749999427083453,2.5384610502959517
5,Not Graduate,0,6400000,18300000,8,697,3600000,Approved,3600000,2.859374553222726,5.083331921296688
3,Graduate,0,9200000,27100000,12,306,9600000,Rejected,9600000,2.9456518537334944,2.8229163726128776
4,Not Graduate,1,400000,1500000,2,669,500000,Approved,500000,3.7499906250234374,2.999994000012
2,Not Graduate,0,2800000,6000000,18,816,3400000,Approved,3400000,2.142856377551294,1.764705363321952
4,Not Graduate,1,8500000,28900000,20,455,9400000,Rejected,9400000,3.399999600000047,3.074467758035345
3,Graduate,1,4700000,16400000,10,318,4300000,Rejected,4300000,3.4893609597104343,3.813952601406372
4,Not Graduate,1,9800000,21200000,20,355,14400000,Rejected,14400000,2.1632650853811137,1.472222119984575
2,Not Graduate,1,3800000,8900000,16,389,2200000,Rejected,2200000,2.3421046468145668,4.045452706612406
2,Graduate,0,500000,1500000,2,888,600000,Approved,600000,2.999994000012,2.499995833340278
2,Graduate,1,6900000,15600000,6,352,10000000,Rejected,10000000,2.260869237555183,1.5599998440000156
4,Not Graduate,1,9600000,30100000,12,870,5600000,Approved,5600000,3.135416340060798,5.374999040178743
3,Not Graduate,0,2900000,6500000,18,827,3200000,Approved,3200000,2.241378537455677,2.0312493652345736
2,Graduate,0,9800000,20900000,12,768,13400000,Approved,13400000,2.1326528436068526,1.5597013761416882
0,Graduate,0,7100000,15400000,18,707,5800000,Approved,5800000,2.1690137790121438,2.655171956004835
1,Not Graduate,1,7700000,19100000,10,355,6600000,Rejected,6600000,2.4805191583741353,2.8939389554637946
3,Graduate,0,1400000,3300000,2,652,1900000,Approved,1900000,2.3571411734705903,1.7368411911362152
3,Graduate,0,7800000,15900000,2,665,5400000,Approved,5400000,2.038461277120349,2.9444438991770556
5,Not Graduate,1,1700000,6000000,18,420,2300000,Rejected,2300000,3.529409688582536,2.6086945179589054
2,Not Graduate,0,8500000,32700000,18,471,12500000,Rejected,12500000,3.847058370934309,2.6159997907200165
5,Not Graduate,0,1900000,7500000,20,715,2800000,Approved,2800000,3.947366343491398,2.6785704719391172
2,Not Graduate,1,6700000,15200000,10,689,6800000,Approved,6800000,2.268656377812481,2.235293788927384
3,Graduate,1,6900000,16400000,4,787,3800000,Approved,3800000,2.3768112497375,4.315788337950438
2,Graduate,0,2600000,7800000,4,819,1500000,Approved,1500000,2.99999884615429,5.199996533335645
4,Graduate,1,9600000,21100000,6,809,8700000,Approved,8700000,2.197916437717038,2.4252870775532096
1,Not Graduate,1,6800000,17000000,2,744,3500000,Approved,3500000,2.499999632352995,4.857141469388152
0,Not Graduate,0,3200000,11300000,6,484,2100000,Rejected,2100000,3.53124889648472,5.380949818595324
4,Not Graduate,0,2900000,10400000,6,673,1700000,Approved,1700000,3.5862056599290826,6.117643460209729
3,Graduate,1,7900000,21200000,18,695,4900000,Approved,4900000,2.683543964108359,4.326529729279647
4,Not Graduate,1,3900000,12400000,12,473,3800000,Rejected,3800000,3.1794863642342657,3.2631570360113065
4,Graduate,1,4600000,11000000,2,491,3500000,Rejected,3500000,2.3913038279774286,3.1428562448982156
3,Not Graduate,1,700000,1700000,8,733,500000,Approved,500000,2.4285679591886296,3.3999932000136
0,Not Graduate,0,5200000,15600000,20,434,5500000,Rejected,5500000,2.999999423077034,2.8363631206612507
3,Not Graduate,1,5900000,20600000,10,777,6400000,Approved,6400000,3.4915248319449437,3.218749497070391
4,Graduate,0,7200000,19100000,4,774,3600000,Approved,3600000,2.652777409336471,5.3055540817905325
1,Not Graduate,1,8700000,27000000,10,717,9100000,Approved,9100000,3.1034479191439175,2.967032640985424
3,Not Graduate,1,1100000,3500000,12,503,1200000,Rejected,1200000,3.181815289258828,2.9166642361131365
1,Graduate,1,4000000,10900000,14,598,4400000,Approved,4400000,2.72499931875017,2.4772721642563265
2,Graduate,0,9800000,32400000,2,543,7700000,Approved,7700000,3.306122111620193,4.207791661325758
0,Not Graduate,1,2700000,6800000,20,796,1900000,Approved,1900000,2.5185175857342275,3.5789454847655344
3,Not Graduate,1,8800000,34600000,8,386,6000000,Rejected,6000000,3.931817735020712,5.766665705555716
5,Not Graduate,1,3300000,7800000,16,632,4900000,Approved,4900000,2.3636356473831373,1.591836409829304
1,Graduate,1,6900000,23400000,4,481,10200000,Approved,10200000,3.3913038563327746,2.2941174221453506
3,Graduate,1,900000,3500000,4,770,600000,Rejected,600000,3.8888845679060355,5.833323611127315
3,Graduate,1,4100000,15500000,6,667,4000000,Approved,4000000,3.7804868828080775,3.8749990312502423
3,Not Graduate,1,4700000,17500000,8,585,4900000,Approved,4900000,3.723403463105646,3.5714278425657464
5,Graduate,1,3400000,11600000,16,479,2400000,Rejected,2400000,3.4117637024224403,4.833331319445284
2,Graduate,0,9600000,22500000,18,851,12700000,Approved,12700000,2.3437497558594003,1.7716534038068186
3,Not Graduate,1,7000000,16200000,6,378,5500000,Rejected,5500000,2.3142853836735164,2.945454009917453
5,Graduate,0,5700000,12900000,18,807,5500000,Approved,5500000,2.263157497691667,2.345454119008342
1,Not Graduate,1,8200000,32400000,18,831,7800000,Approved,7800000,3.951219030339143,4.153845621301843
2,Not Graduate,0,2100000,5100000,12,674,2400000,Approved,2400000,2.4285702721093942,2.1249991145837024
1,Not Graduate,1,8000000,28100000,18,725,7500000,Approved,7500000,3.5124995609375547,3.7466661671111776
2,Not Graduate,0,8000000,29300000,4,600,6500000,Approved,6500000,3.662499542187557,4.50769161420129
0,Not Graduate,1,9400000,27000000,10,536,4800000,Rejected,4800000,2.872340119963817,5.6249988281252445
0,Graduate,0,8400000,20600000,10,477,11900000,Rejected,11900000,2.4523806604308738,1.7310922915048494
1,Not Graduate,1,1900000,5000000,6,560,1400000,Approved,1400000,2.6315775623275988,3.5714260204099855
0,Not Graduate,1,4200000,16400000,20,539,3100000,Rejected,3100000,3.9047609750569108,5.290320874090041
5,Graduate,0,2600000,9100000,8,852,3300000,Approved,3300000,3.4999986538466716,2.7575749219469934
3,Not Graduate,0,3700000,8500000,20,853,4900000,Approved,4900000,2.2972966764063036,1.734693523531934
0,Graduate,0,8800000,30900000,12,729,11400000,Approved,11400000,3.5113632373450865,2.7105260780240283
2,Not Graduate,0,2100000,4700000,2,546,1500000,Rejected,1500000,2.2380941723361083,3.133331244445837
3,Graduate,1,900000,2400000,10,489,500000,Rejected,500000,2.666663703706996,4.7999904000192
3,Graduate,1,9800000,35400000,6,869,10300000,Approved,10300000,3.612244529362803,3.436892870204576
2,Not Graduate,0,8000000,20000000,2,502,9900000,Rejected,9900000,2.499999687500039,2.0202018161412307
0,Graduate,0,9800000,38800000,8,652,5400000,Approved,5400000,3.959183269471095,7.185183854595582
0,Not Graduate,1,300000,1100000,8,789,400000,Approved,400000,3.666654444485185,2.7499931250171876
4,Not Graduate,0,2700000,8100000,4,325,3400000,Approved,3400000,2.9999988888893006,2.3823522404846353
3,Graduate,1,7400000,19600000,2,716,4200000,Approved,4200000,2.648648290723204,4.66666555555582
3,Graduate,0,9200000,34300000,18,523,8800000,Rejected,8800000,3.728260464319515,3.8977268298037693
5,Not Graduate,0,9500000,22200000,20,352,7000000,Rejected,7000000,2.3368418592798044,3.1714281183674116
5,Graduate,1,3800000,14400000,2,345,4700000,Approved,4700000,3.7894726869808717,3.063829135355503
0,Graduate,0,8300000,19400000,18,649,11300000,Approved,11300000,2.3373491159820343,1.7168140073615923
2,Graduate,1,2800000,7400000,18,666,3400000,Approved,3400000,2.642856198979929,2.176469948097074
0,Graduate,0,8600000,20900000,10,813,4800000,Approved,4800000,2.4302322755543866,4.3541657595488
0,Not Graduate,0,5400000,16800000,10,599,7600000,Approved,7600000,3.1111105349795305,2.210526024930786
5,Graduate,1,4200000,9400000,6,678,5700000,Approved,5700000,2.238094705215546,1.649122517697804
5,Not Graduate,0,5200000,12200000,20,513,5400000,Rejected,5400000,2.346153394970501,2.2592588408779926
