loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
248,0,Not Graduate,1,9400000,27000000,10,536,4800000,Rejected
249,0,Graduate,0,8400000,20600000,10,477,11900000,Rejected
250,1,Not Graduate,1,1900000,5000000,6,560,1400000,Approved
251,0,Not Graduate,1,4200000,16400000,20,539,3100000,Rejected
252,5,Graduate,0,2600000,9100000,8,852,3300000,Approved
253,3,Not Graduate,0,3700000,8500000,20,853,4900000,Approved
254,0,Graduate,0,8800000,30900000,12,729,11400000,Approved
255,2,Not Graduate,0,2100000,4700000,2,546,1500000,Rejected
256,3,Graduate,1,900000,2400000,10,489,500000,Rejected
257,3,Graduate,1,9800000,35400000,6,869,10300000,Approved
258,2,Not Graduate,0,8000000,20000000,2,502,9900000,Rejected
259,0,Graduate,0,9800000,38800000,8,652,5400000,Approved
260,0,Not Graduate,1,300000,1100000,8,789,400000,Approved
261,4,Not Graduate,0,2700000,8100000,4,325,3400000,Approved
262,3,Graduate,1,7400000,19600000,2,716,4200000,Approved
263,3,Graduate,0,9200000,34300000,18,523,8800000,Rejected
264,5,Not Graduate,0,9500000,22200000,20,352,7000000,Rejected
265,5,Graduate,1,3800000,14400000,2,345,4700000,Approved
266,0,Graduate,0,8300000,19400000,18,649,11300000,Approved
267,2,Graduate,1,2800000,7400000,18,666,3400000,Approved
268,0,Graduate,0,8600000,20900000,10,813,4800000,Approved
269,0,Not Graduate,0,5400000,16800000,10,599,7600000,Approved
270,5,Graduate,1,4200000,9400000,6,678,5700000,Approved
271,5,Not Graduate,0,5200000,12200000,20,513,5400000,Rejected
272,5,Graduate,0,9400000,27900000,4,870,10400000,Approved
273,3,Graduate,0,8800000,20400000,8,483,11800000,Rejected
274,1,Graduate,1,5900000,16700000,16,308,5300000,Rejected
275,3,Graduate,1,1700000,4900000,16,591,1400000,Approved
276,1,Not Graduate,0,7000000,23000000,10,886,3600000,Approved
277,4,Not Graduate,0,1700000,4000000,6,829,1700000,Approved
278,0,Not Graduate,0,1500000,4900000,12,651,800000,Approved
279,4,Not Graduate,0,2000000,4700000,18,733,2800000,Approved
280,5,Graduate,1,3900000,15500000,12,433,4600000,Rejected
281,1,Graduate,1,900000,3600000,14,713,1200000,Approved
282,1,Graduate,0,6900000,22500000,18,403,6300000,Rejected
283,0,Graduate,1,2800000,7800000,10,405,3400000,Rejected
284,3,Graduate,1,6800000,19900000,10,516,8500000,Rejected
285,4,Not Graduate,1,600000,1800000,8,417,800000,Rejected
286,1,Not Graduate,0,4700000,14000000,6,468,4600000,Rejected
287,5,Graduate,1,3000000,11800000,10,672,4100000,Approved
288,5,Not Graduate,0,4000000,13900000,6,530,6000000,Rejected
289,1,Not Graduate,1,3100000,11300000,14,824,4400000,Approved
290,1,Not Graduate,1,7700000,25500000,12,549,7000000,Rejected
291,5,Not Graduate,1,4300000,9300000,10,450,4100000,Rejected
292,1,Graduate,1,5800000,19500000,20,431,3300000,Rejected
293,3,Graduate,1,3600000,10700000,16,312,5200000,Rejected
294,0,Not Graduate,1,2900000,7600000,8,320,3100000,Rejected
295,0,Graduate,0,8800000,20200000,4,433,12400000,Rejected
296,1,Not Graduate,1,300000,1000000,10,431,100000,Rejected
297,5,Not Graduate,1,8600000,28900000,8,516,6800000,Rejected
298,2,Not Graduate,1,3500000,12000000,14,476,2900000,Rejected
299,5,Graduate,0,800000,2600000,6,560,1000000,Approved
300,2,Graduate,0,8000000,27100000,12,674,6400000,Approved
301,0,Not Graduate,1,9900000,38200000,6,573,5900000,Approved
302,2,Not Graduate,0,3300000,6600000,6,331,2700000,Rejected
303,4,Graduate,1,2000000,6700000,12,633,2000000,Approved
304,3,Not Graduate,0,4900000,12900000,18,877,3300000,Approved
305,5,Not Graduate,1,9200000,23600000,12,656,4900000,Approved
306,0,Not Graduate,0,7500000,18200000,6,782,4100000,Approved
307,5,Not Graduate,0,9000000,29300000,4,531,5800000,Approved
308,3,Not Graduate,0,1400000,4100000,8,455,2100000,Rejected
309,3,Graduate,0,9600000,19900000,14,452,6600000,Rejected
310,2,Graduate,0,8400000,33200000,14,474,11500000,Rejected
311,3,Not Graduate,0,6400000,24400000,4,483,4500000,Approved
312,4,Graduate,0,5900000,16800000,8,481,3300000,Rejected
313,2,Graduate,1,2200000,5100000,20,859,3100000,Approved
314,4,Graduate,1,5600000,14100000,14,696,6800000,Approved
315,4,Not Graduate,0,9800000,28700000,6,778,11100000,Approved
316,4,Graduate,0,4400000,14600000,4,499,5700000,Approved
317,2,Not Graduate,1,2400000,4900000,4,888,3400000,Approved
318,1,Graduate,0,4400000,10800000,12,674,5300000,Approved
319,4,Graduate,0,3700000,13200000,4,802,4300000,Approved
320,4,Not Graduate,1,2300000,7800000,8,540,2800000,Rejected
321,4,Graduate,1,5900000,19600000,8,726,8000000,Approved
322,4,Not Graduate,1,6400000,23500000,2,485,3900000,Approved
323,4,Graduate,1,4900000,17100000,6,612,5000000,Approved
324,3,Not Graduate,1,9500000,24200000,8,879,12700000,Approved
325,2,Not Graduate,0,5700000,16400000,12,708,4400000,Approved
326,2,Not Graduate,1,2700000,5700000,8,850,3900000,Approved
327,2,Not Graduate,1,3900000,11300000,12,516,4600000,Rejected
328,0,Not Graduate,0,7800000,28800000,12,465,7400000,Rejected
329,0,Graduate,0,1100000,3200000,20,716,1500000,Approved
330,4,Not Graduate,0,200000,600000,10,404,0,Rejected
331,0,Not Graduate,1,4700000,10600000,20,512,7000000,Rejected
332,3,Not Graduate,1,8200000,20600000,10,441,6100000,Rejected
333,2,Not Graduate,1,4600000,18400000,2,555,4200000,Approved
334,5,Not Graduate,0,1800000,7000000,18,466,1900000,Rejected
335,3,Graduate,1,3200000,8600000,2,427,4700000,Rejected
336,4,Not Graduate,1,5500000,20000000,14,593,4900000,Approved
337,3,Graduate,0,7900000,18300000,10,731,8400000,Approved
338,1,Graduate,1,4000000,10100000,16,451,3900000,Rejected
339,3,Not Graduate,1,6800000,16900000,18,628,4900000,Approved
340,1,Not Graduate,0,2700000,9400000,18,704,2400000,Approved
341,2,Not Graduate,0,6800000,23500000,12,341,8500000,Rejected
342,5,Graduate,0,8600000,21000000,8,465,9900000,Rejected
343,4,Graduate,0,8000000,30100000,4,431,11500000,Approved
344,1,Graduate,1,3700000,12600000,10,424,4400000,Rejected
345,0,Graduate,0,2600000,5100000,14,678,3100000,Approved
346,4,Graduate,0,4200000,16800000,6,381,5900000,Rejected
347,5,Graduate,1,8000000,28000000,10,449,3900000,Rejected
348,1,Not Graduate,0,7100000,23500000,12,768,7300000,Approved
349,0,Not Graduate,0,2000000,7000000,6,666,1400000,Rejected
350,4,Not Graduate,1,5800000,13300000,14,742,7000000,Approved
351,3,Not Graduate,1,6700000,15800000,4,445,9100000,Rejected
352,2,Graduate,0,7300000,28700000,14,634,10800000,Approved
353,4,Not Graduate,0,3300000,9700000,14,782,2200000,Approved
354,0,Graduate,0,3000000,7000000,10,781,2700000,Approved
355,4,Not Graduate,0,7900000,17200000,14,318,9000000,Rejected
356,5,Not Graduate,0,7600000,24100000,18,721,7200000,Approved
357,5,Not Graduate,0,3700000,9800000,4,563,3000000,Approved
358,2,Not Graduate,0,8400000,26300000,4,419,6200000,Approved
359,0,Graduate,1,8200000,20800000,14,372,5200000,Rejected
360,0,Not Graduate,0,2900000,9500000,18,885,3500000,Approved
361,1,Not Graduate,1,9900000,38400000,12,596,6800000,Approved
362,0,Graduate,0,4400000,14100000,2,349,6200000,Approved
363,1,Not Graduate,1,9000000,32200000,16,468,10900000,Rejected
364,3,Not Graduate,1,6800000,26900000,16,818,7300000,Approved
365,2,Not Graduate,0,8700000,28000000,12,543,6700000,Rejected
366,3,Graduate,0,9400000,21900000,16,685,5000000,Approved
367,3,Not Graduate,1,6000000,12500000,18,851,5000000,Approved
368,1,Not Graduate,1,9400000,29800000,10,377,11700000,Rejected
369,0,Not Graduate,1,1000000,4000000,10,620,1100000,Approved
370,3,Graduate,1,900000,2300000,20,611,500000,Approved
371,4,Not Graduate,0,2100000,7700000,4,767,1300000,Approved
372,5,Graduate,1,1100000,3200000,20,592,500000,Approved
373,0,Graduate,1,600000,2300000,4,319,700000,Approved
374,4,Not Graduate,1,9200000,25500000,10,900,12800000,Approved
375,2,Not Graduate,1,3600000,12800000,18,814,4100000,Approved
376,5,Not Graduate,1,1300000,5000000,10,755,1900000,Approved
377,5,Graduate,1,7700000,16800000,20,584,8000000,Approved
378,4,Graduate,1,9500000,23500000,14,380,7300000,Rejected
379,2,Not Graduate,1,5000000,17600000,20,465,5200000,Rejected
380,0,Not Graduate,0,500000,1800000,2,531,700000,Approved
381,1,Graduate,1,8300000,32100000,16,814,7500000,Approved
382,0,Graduate,0,5300000,17900000,6,678,3600000,Approved
383,2,Not Graduate,1,9300000,29000000,12,655,4900000,Approved
384,3,Not Graduate,0,2300000,7400000,2,682,2100000,Approved
385,1,Not Graduate,0,400000,1300000,6,695,100000,Approved
386,3,Not Graduate,0,3200000,10800000,4,833,2600000,Approved
387,5,Not Graduate,1,9400000,35300000,16,302,12900000,Rejected
388,1,Graduate,0,2300000,6600000,2,357,2200000,Rejected
389,5,Not Graduate,0,4300000,14500000,12,302,5100000,Rejected
390,0,Graduate,1,6200000,22400000,18,873,8200000,Approved
391,0,Not Graduate,1,7200000,19800000,12,658,7300000,Approved
392,5,Graduate,1,2400000,8700000,18,877,1100000,Approved
393,3,Not Graduate,0,2900000,6300000,8,648,1400000,Approved
394,1,Graduate,0,1400000,5200000,12,730,700000,Approved
395,4,Not Graduate,1,2200000,8200000,14,737,1400000,Approved
396,2,Graduate,1,800000,3200000,10,584,700000,Rejected
397,0,Graduate,0,600000,1700000,2,621,200000,Approved
398,4,Graduate,1,700000,2700000,16,583,300000,Approved
399,2,Not Graduate,0,8400000,25900000,16,621,4200000,Approved
400,2,Not Graduate,0,7100000,21500000,16,610,9300000,Approved
401,4,Graduate,0,5400000,15700000,18,452,6600000,Rejected
402,5,Graduate,0,3700000,7300000,18,339,5300000,Rejected
403,3,Graduate,1,5200000,15200000,16,650,4100000,Approved
404,4,Not Graduate,1,200000,700000,10,672,300000,Approved
405,3,Graduate,0,500000,1000000,20,501,200000,Rejected
406,2,Not Graduate,1,1800000,5700000,4,809,2400000,Approved
407,5,Graduate,1,9200000,29400000,8,318,5400000,Rejected
408,4,Not Graduate,0,900000,3300000,10,649,1200000,Approved
409,3,Not Graduate,0,7500000,28300000,12,367,7000000,Rejected
410,5,Not Graduate,0,3000000,11800000,6,847,2300000,Approved
411,5,Graduate,0,7100000,18900000,12,360,8500000,Rejected
412,1,Graduate,1,3500000,7200000,2,865,4200000,Approved
413,4,Not Graduate,0,4900000,18800000,16,880,2600000,Approved
414,1,Graduate,0,4100000,8400000,20,608,4400000,Approved
415,0,Graduate,1,800000,2100000,6,760,600000,Approved
416,3,Graduate,1,1700000,4600000,12,385,1700000,Rejected
417,0,Graduate,1,6100000,23300000,12,478,4900000,Rejected
418,1,Graduate,1,2100000,7700000,16,327,2300000,Rejected
419,0,Graduate,0,3100000,9300000,6,663,3800000,Approved
420,2,Not Graduate,1,1700000,3500000,20,693,1700000,Approved
421,3,Graduate,0,1700000,5400000,6,710,1700000,Approved
422,4,Not Graduate,1,4000000,14500000,6,711,4100000,Approved
423,5,Graduate,0,5600000,18400000,8,386,5600000,Rejected
424,4,Graduate,1,3900000,11900000,10,855,2800000,Approved
425,4,Graduate,1,6100000,15300000,14,573,8400000,Approved
426,0,Graduate,1,1100000,2800000,18,431,1400000,Rejected
427,2,Graduate,0,5500000,14800000,8,364,4500000,Rejected
428,4,Graduate,1,1100000,3600000,14,711,600000,Approved
429,4,Not Graduate,1,400000,900000,20,771,500000,Approved
430,3,Graduate,0,9200000,36400000,18,669,12300000,Approved
