loan_id,no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
148,3,Graduate,0,4000000,11100000,144,572,2400000,Approved
149,0,Not Graduate,1,4900000,11900000,192,709,3800000,Approved
150,5,Graduate,0,2000000,6200000,216,402,1100000,Rejected
151,1,Not Graduate,1,5200000,19300000,96,481,4200000,Rejected
152,5,Graduate,1,8900000,28800000,72,772,8400000,Approved
153,1,Graduate,1,6500000,20600000,24,306,3200000,Approved
154,2,Not Graduate,0,1300000,4500000,72,415,1200000,Rejected
155,3,Not Graduate,0,9400000,35000000,192,548,4800000,Rejected
156,5,Not Graduate,0,5000000,11200000,96,701,4600000,Approved
157,2,Graduate,0,3000000,7700000,144,890,2100000,Approved
158,5,Not Graduate,1,9900000,33300000,72,364,8300000,Rejected
159,5,Graduate,1,700000,1300000,240,704,600000,Approved
160,3,Graduate,1,4000000,10600000,120,318,4900000,Rejected
161,5,Not Graduate,0,3100000,9600000,24,761,4200000,Approved
162,4,Not Graduate,0,4500000,15100000,72,693,6000000,Approved
163,3,Not Graduate,0,9700000,20600000,192,524,6100000,Rejected
164,2,Not Graduate,1,2000000,5300000,120,681,2900000,Approved
165,2,Graduate,1,8100000,22300000,216,737,7300000,Approved
166,0,Not Graduate,0,5700000,15900000,192,638,4500000,Approved
167,4,Not Graduate,0,5800000,12800000,24,656,2800000,Approved
168,1,Graduate,0,1800000,6500000,72,540,1100000,Rejected
169,4,Not Graduate,1,9100000,35200000,72,341,8200000,Rejected
170,0,Not Graduate,1,4800000,17500000,24,371,3500000,Approved
171,3,Not Graduate,1,3800000,10500000,144,886,2300000,Approved
172,0,Not Graduate,0,1900000,4100000,216,801,1200000,Approved
173,3,Not Graduate,1,3600000,9500000,192,748,2600000,Approved
174,2,Not Graduate,1,7400000,28200000,96,376,5200000,Rejected
175,4,Not Graduate,1,6600000,14300000,96,371,7400000,Rejected
176,2,Graduate,0,1800000,5300000,72,826,1300000,Approved
177,4,Not Graduate,0,9200000,27200000,144,873,11400000,Approved
178,5,Not Graduate,1,2400000,8600000,96,309,2800000,Rejected
179,4,Not Graduate,0,5600000,13300000,240,869,6500000,Approved
180,5,Graduate,0,3800000,13900000,144,534,2800000,Rejected
181,3,Not Graduate,1,4500000,17900000,72,787,4200000,Approved
182,0,Graduate,1,900000,2200000,192,566,600000,Approved
183,0,Not Graduate,0,2800000,9900000,96,742,1700000,Approved
184,2,Not Graduate,0,7500000,23100000,48,824,9500000,Approved
185,4,Graduate,0,1400000,3100000,168,575,1400000,Approved
186,2,Graduate,1,3800000,10900000,120,766,3000000,Approved
187,1,Not Graduate,1,1700000,5000000,120,888,2200000,Approved
188,3,Graduate,1,9000000,30400000,72,638,9200000,Approved
189,5,Not Graduate,1,7300000,23300000,72,622,10500000,Approved
190,1,Not Graduate,0,7400000,19800000,216,458,4000000,Rejected
191,1,Not Graduate,0,9000000,28200000,192,327,11200000,Rejected
192,0,Not Graduate,0,3000000,6500000,24,612,1700000,Approved
193,1,Graduate,0,800000,2900000,96,682,700000,Approved
194,2,Graduate,0,4800000,13200000,24,583,5200000,Approved
195,5,Not Graduate,0,6400000,18300000,96,697,3600000,Approved
196,3,Graduate,0,9200000,27100000,144,306,9600000,Rejected
197,4,Not Graduate,1,400000,1500000,24,669,500000,Approved
198,2,Not Graduate,0,2800000,6000000,216,816,3400000,Approved
199,4,Not Graduate,1,8500000,28900000,240,455,9400000,Rejected
200,3,Graduate,1,4700000,16400000,120,318,4300000,Rejected
201,4,Not Graduate,1,9800000,21200000,240,355,14400000,Rejected
202,2,Not Graduate,1,3800000,8900000,192,389,2200000,Rejected
203,2,Graduate,0,500000,1500000,24,888,600000,Approved
204,2,Graduate,1,6900000,15600000,72,352,10000000,Rejected
205,4,Not Graduate,1,9600000,30100000,144,870,5600000,Approved
206,3,Not Graduate,0,2900000,6500000,216,827,3200000,Approved
207,2,Graduate,0,9800000,20900000,144,768,13400000,Approved
208,0,Graduate,0,7100000,15400000,216,707,5800000,Approved
209,1,Not Graduate,1,7700000,19100000,120,355,6600000,Rejected
210,3,Graduate,0,1400000,3300000,24,652,1900000,Approved
211,3,Graduate,0,7800000,15900000,24,665,5400000,Approved
212,5,Not Graduate,1,1700000,6000000,216,420,2300000,Rejected
213,2,Not Graduate,0,8500000,32700000,216,471,12500000,Rejected
214,5,Not Graduate,0,1900000,7500000,240,715,2800000,Approved
215,2,Not Graduate,1,6700000,15200000,120,689,6800000,Approved
216,3,Graduate,1,6900000,16400000,48,787,3800000,Approved
217,2,Graduate,0,2600000,7800000,48,819,1500000,Approved
218,4,Graduate,1,9600000,21100000,72,809,8700000,Approved
219,1,Not Graduate,1,6800000,17000000,24,744,3500000,Approved
220,0,Not Graduate,0,3200000,11300000,72,484,2100000,Rejected
221,4,Not Graduate,0,2900000,10400000,72,673,1700000,Approved
222,3,Graduate,1,7900000,21200000,216,695,4900000,Approved
223,4,Not Graduate,1,3900000,12400000,144,473,3800000,Rejected
224,4,Graduate,1,4600000,11000000,24,491,3500000,Rejected
225,3,Not Graduate,1,700000,1700000,96,733,500000,Approved
226,0,Not Graduate,0,5200000,15600000,240,434,5500000,Rejected
227,3,Not Graduate,1,5900000,20600000,120,777,6400000,Approved
228,4,Graduate,0,7200000,19100000,48,774,3600000,Approved
229,1,Not Graduate,1,8700000,27000000,120,717,9100000,Approved
230,3,Not Graduate,1,1100000,3500000,144,503,1200000,Rejected
231,1,Graduate,1,4000000,10900000,168,598,4400000,Approved
232,2,Graduate,0,9800000,32400000,24,543,7700000,Approved
233,0,Not Graduate,1,2700000,6800000,240,796,1900000,Approved
234,3,Not Graduate,1,8800000,34600000,96,386,6000000,Rejected
235,5,Not Graduate,1,3300000,7800000,192,632,4900000,Approved
236,1,Graduate,1,6900000,23400000,48,481,10200000,Approved
237,3,Graduate,1,900000,3500000,48,770,600000,Rejected
238,3,Graduate,1,4100000,15500000,72,667,4000000,Approved
239,3,Not Graduate,1,4700000,17500000,96,585,4900000,Approved
240,5,Graduate,1,3400000,11600000,192,479,2400000,Rejected
241,2,Graduate,0,9600000,22500000,216,851,12700000,Approved
242,3,Not Graduate,1,7000000,16200000,72,378,5500000,Rejected
243,5,Graduate,0,5700000,12900000,216,807,5500000,Approved
244,1,Not Graduate,1,8200000,32400000,216,831,7800000,Approved
245,2,Not Graduate,0,2100000,5100000,144,674,2400000,Approved
246,1,Not Graduate,1,8000000,28100000,216,725,7500000,Approved
247,2,Not Graduate,0,8000000,29300000,48,600,6500000,Approved
248,0,Not Graduate,1,9400000,27000000,120,536,4800000,Rejected
249,0,Graduate,0,8400000,20600000,120,477,11900000,Rejected
250,1,Not Graduate,1,1900000,5000000,72,560,1400000,Approved
251,0,Not Graduate,1,4200000,16400000,240,539,3100000,Rejected
252,5,Graduate,0,2600000,9100000,96,852,3300000,Approved
253,3,Not Graduate,0,3700000,8500000,240,853,4900000,Approved
254,0,Graduate,0,8800000,30900000,144,729,11400000,Approved
255,2,Not Graduate,0,2100000,4700000,24,546,1500000,Rejected
256,3,Graduate,1,900000,2400000,120,489,500000,Rejected
257,3,Graduate,1,9800000,35400000,72,869,10300000,Approved
258,2,Not Graduate,0,8000000,20000000,24,502,9900000,Rejected
259,0,Graduate,0,9800000,38800000,96,652,5400000,Approved
260,0,Not Graduate,1,300000,1100000,96,789,400000,Approved
261,4,Not Graduate,0,2700000,8100000,48,325,3400000,Approved
262,3,Graduate,1,7400000,19600000,24,716,4200000,Approved
263,3,Graduate,0,9200000,34300000,216,523,8800000,Rejected
264,5,Not Graduate,0,9500000,22200000,240,352,7000000,Rejected
265,5,Graduate,1,3800000,14400000,24,345,4700000,Approved
266,0,Graduate,0,8300000,19400000,216,649,11300000,Approved
267,2,Graduate,1,2800000,7400000,216,666,3400000,Approved
268,0,Graduate,0,8600000,20900000,120,813,4800000,Approved
269,0,Not Graduate,0,5400000,16800000,120,599,7600000,Approved
270,5,Graduate,1,4200000,9400000,72,678,5700000,Approved
271,5,Not Graduate,0,5200000,12200000,240,513,5400000,Rejected
272,5,Graduate,0,9400000,27900000,48,870,10400000,Approved
273,3,Graduate,0,8800000,20400000,96,483,11800000,Rejected
274,1,Graduate,1,5900000,16700000,192,308,5300000,Rejected
275,3,Graduate,1,1700000,4900000,192,591,1400000,Approved
276,1,Not Graduate,0,7000000,23000000,120,886,3600000,Approved
277,4,Not Graduate,0,1700000,4000000,72,829,1700000,Approved
278,0,Not Graduate,0,1500000,4900000,144,651,800000,Approved
279,4,Not Graduate,0,2000000,4700000,216,733,2800000,Approved
280,5,Graduate,1,3900000,15500000,144,433,4600000,Rejected
281,1,Graduate,1,900000,3600000,168,713,1200000,Approved
282,1,Graduate,0,6900000,22500000,216,403,6300000,Rejected
283,0,Graduate,1,2800000,7800000,120,405,3400000,Rejected
284,3,Graduate,1,6800000,19900000,120,516,8500000,Rejected
285,4,Not Graduate,1,600000,1800000,96,417,800000,Rejected
286,1,Not Graduate,0,4700000,14000000,72,468,4600000,Rejected
287,5,Graduate,1,3000000,11800000,120,672,4100000,Approved
288,5,Not Graduate,0,4000000,13900000,72,530,6000000,Rejected
289,1,Not Graduate,1,3100000,11300000,168,824,4400000,Approved
290,1,Not Graduate,1,7700000,25500000,144,549,7000000,Rejected
291,5,Not Graduate,1,4300000,9300000,120,450,4100000,Rejected
292,1,Graduate,1,5800000,19500000,240,431,3300000,Rejected
293,3,Graduate,1,3600000,10700000,192,312,5200000,Rejected
294,0,Not Graduate,1,2900000,7600000,96,320,3100000,Rejected
295,0,Graduate,0,8800000,20200000,48,433,12400000,Rejected
296,1,Not Graduate,1,300000,1000000,120,431,100000,Rejected
297,5,Not Graduate,1,8600000,28900000,96,516,6800000,Rejected
298,2,Not Graduate,1,3500000,12000000,168,476,2900000,Rejected
299,5,Graduate,0,800000,2600000,72,560,1000000,Approved
300,2,Graduate,0,8000000,27100000,144,674,6400000,Approved
301,0,Not Graduate,1,9900000,38200000,72,573,5900000,Approved
302,2,Not Graduate,0,3300000,6600000,72,331,2700000,Rejected
303,4,Graduate,1,2000000,6700000,144,633,2000000,Approved
304,3,Not Graduate,0,4900000,12900000,216,877,3300000,Approved
305,5,Not Graduate,1,9200000,23600000,144,656,4900000,Approved
306,0,Not Graduate,0,7500000,18200000,72,782,4100000,Approved
307,5,Not Graduate,0,9000000,29300000,48,531,5800000,Approved
308,3,Not Graduate,0,1400000,4100000,96,455,2100000,Rejected
309,3,Graduate,0,9600000,19900000,168,452,6600000,Rejected
310,2,Graduate,0,8400000,33200000,168,474,11500000,Rejected
311,3,Not Graduate,0,6400000,24400000,48,483,4500000,Approved
312,4,Graduate,0,5900000,16800000,96,481,3300000,Rejected
313,2,Graduate,1,2200000,5100000,240,859,3100000,Approved
314,4,Graduate,1,5600000,14100000,168,696,6800000,Approved
315,4,Not Graduate,0,9800000,28700000,72,778,11100000,Approved
316,4,Graduate,0,4400000,14600000,48,499,5700000,Approved
317,2,Not Graduate,1,2400000,4900000,48,888,3400000,Approved
318,1,Graduate,0,4400000,10800000,144,674,5300000,Approved
319,4,Graduate,0,3700000,13200000,48,802,4300000,Approved
320,4,Not Graduate,1,2300000,7800000,96,540,2800000,Rejected
321,4,Graduate,1,5900000,19600000,96,726,8000000,Approved
322,4,Not Graduate,1,6400000,23500000,24,485,3900000,Approved
323,4,Graduate,1,4900000,17100000,72,612,5000000,Approved
324,3,Not Graduate,1,9500000,24200000,96,879,12700000,Approved
325,2,Not Graduate,0,5700000,16400000,144,708,4400000,Approved
326,2,Not Graduate,1,2700000,5700000,96,850,3900000,Approved
327,2,Not Graduate,1,3900000,11300000,144,516,4600000,Rejected
328,0,Not Graduate,0,7800000,28800000,144,465,7400000,Rejected
329,0,Graduate,0,1100000,3200000,240,716,1500000,Approved
330,4,Not Graduate,0,200000,600000,120,404,0,Rejected
331,0,Not Graduate,1,4700000,10600000,240,512,7000000,Rejected
332,3,Not Graduate,1,8200000,20600000,120,441,6100000,Rejected
333,2,Not Graduate,1,4600000,18400000,24,555,4200000,Approved
334,5,Not Graduate,0,1800000,7000000,216,466,1900000,Rejected
335,3,Graduate,1,3200000,8600000,24,427,4700000,Rejected
336,4,Not Graduate,1,5500000,20000000,168,593,4900000,Approved
337,3,Graduate,0,7900000,18300000,120,731,8400000,Approved
338,1,Graduate,1,4000000,10100000,192,451,3900000,Rejected
339,3,Not Graduate,1,6800000,16900000,216,628,4900000,Approved
340,1,Not Graduate,0,2700000,9400000,216,704,2400000,Approved
341,2,Not Graduate,0,6800000,23500000,144,341,8500000,Rejected
342,5,Graduate,0,8600000,21000000,96,465,9900000,Rejected
343,4,Graduate,0,8000000,30100000,48,431,11500000,Approved
344,1,Graduate,1,3700000,12600000,120,424,4400000,Rejected
345,0,Graduate,0,2600000,5100000,168,678,3100000,Approved
346,4,Graduate,0,4200000,16800000,72,381,5900000,Rejected
347,5,Graduate,1,8000000,28000000,120,449,3900000,Rejected
348,1,Not Graduate,0,7100000,23500000,144,768,7300000,Approved
349,0,Not Graduate,0,2000000,7000000,72,666,1400000,Rejected
350,4,Not Graduate,1,5800000,13300000,168,742,7000000,Approved
351,3,Not Graduate,1,6700000,15800000,48,445,9100000,Rejected
352,2,Graduate,0,7300000,28700000,168,634,10800000,Approved
353,4,Not Graduate,0,3300000,9700000,168,782,2200000,Approved
354,0,Graduate,0,3000000,7000000,120,781,2700000,Approved
355,4,Not Graduate,0,7900000,17200000,168,318,9000000,Rejected
356,5,Not Graduate,0,7600000,24100000,216,721,7200000,Approved
357,5,Not Graduate,0,3700000,9800000,48,563,3000000,Approved
358,2,Not Graduate,0,8400000,26300000,48,419,6200000,Approved
359,0,Graduate,1,8200000,20800000,168,372,5200000,Rejected
360,0,Not Graduate,0,2900000,9500000,216,885,3500000,Approved
361,1,Not Graduate,1,9900000,38400000,144,596,6800000,Approved
362,0,Graduate,0,4400000,14100000,24,349,6200000,Approved
363,1,Not Graduate,1,9000000,32200000,192,468,10900000,Rejected
364,3,Not Graduate,1,6800000,26900000,192,818,7300000,Approved
365,2,Not Graduate,0,8700000,28000000,144,543,6700000,Rejected
366,3,Graduate,0,9400000,21900000,192,685,5000000,Approved
367,3,Not Graduate,1,6000000,12500000,216,851,5000000,Approved
368,1,Not Graduate,1,9400000,29800000,120,377,11700000,Rejected
369,0,Not Graduate,1,1000000,4000000,120,620,1100000,Approved
370,3,Graduate,1,900000,2300000,240,611,500000,Approved
371,4,Not Graduate,0,2100000,7700000,48,767,1300000,Approved
372,5,Graduate,1,1100000,3200000,240,592,500000,Approved
373,0,Graduate,1,600000,2300000,48,319,700000,Approved
374,4,Not Graduate,1,9200000,25500000,120,900,12800000,Approved
375,2,Not Graduate,1,3600000,12800000,216,814,4100000,Approved
376,5,Not Graduate,1,1300000,5000000,120,755,1900000,Approved
377,5,Graduate,1,7700000,16800000,240,584,8000000,Approved
378,4,Graduate,1,9500000,23500000,168,380,7300000,Rejected
379,2,Not Graduate,1,5000000,17600000,240,465,5200000,Rejected
380,0,Not Graduate,0,500000,1800000,24,531,700000,Approved
381,1,Graduate,1,8300000,32100000,192,814,7500000,Approved
382,0,Graduate,0,5300000,17900000,72,678,3600000,Approved
383,2,Not Graduate,1,9300000,29000000,144,655,4900000,Approved
384,3,Not Graduate,0,2300000,7400000,24,682,2100000,Approved
385,1,Not Graduate,0,400000,1300000,72,695,100000,Approved
386,3,Not Graduate,0,3200000,10800000,48,833,2600000,Approved
387,5,Not Graduate,1,9400000,35300000,192,302,12900000,Rejected
388,1,Graduate,0,2300000,6600000,24,357,2200000,Rejected
389,5,Not Graduate,0,4300000,14500000,144,302,5100000,Rejected
390,0,Graduate,1,6200000,22400000,216,873,8200000,Approved
391,0,Not Graduate,1,7200000,19800000,144,658,7300000,Approved
392,5,Graduate,1,2400000,8700000,216,877,1100000,Approved
393,3,Not Graduate,0,2900000,6300000,96,648,1400000,Approved
394,1,Graduate,0,1400000,5200000,144,730,700000,Approved
395,4,Not Graduate,1,2200000,8200000,168,737,1400000,Approved
396,2,Graduate,1,800000,3200000,120,584,700000,Rejected
397,0,Graduate,0,600000,1700000,24,621,200000,Approved
398,4,Graduate,1,700000,2700000,192,583,300000,Approved
399,2,Not Graduate,0,8400000,25900000,192,621,4200000,Approved
400,2,Not Graduate,0,7100000,21500000,192,610,9300000,Approved
401,4,Graduate,0,5400000,15700000,216,452,6600000,Rejected
402,5,Graduate,0,3700000,7300000,216,339,5300000,Rejected
403,3,Graduate,1,5200000,15200000,192,650,4100000,Approved
404,4,Not Graduate,1,200000,700000,120,672,300000,Approved
405,3,Graduate,0,500000,1000000,240,501,200000,Rejected
406,2,Not Graduate,1,1800000,5700000,48,809,2400000,Approved
407,5,Graduate,1,9200000,29400000,96,318,5400000,Rejected
408,4,Not Graduate,0,900000,3300000,120,649,1200000,Approved
409,3,Not Graduate,0,7500000,28300000,144,367,7000000,Rejected
410,5,Not Graduate,0,3000000,11800000,72,847,2300000,Approved
411,5,Graduate,0,7100000,18900000,144,360,8500000,Rejected
412,1,Graduate,1,3500000,7200000,24,865,4200000,Approved
413,4,Not Graduate,0,4900000,18800000,192,880,2600000,Approved
414,1,Graduate,0,4100000,8400000,240,608,4400000,Approved
415,0,Graduate,1,800000,2100000,72,760,600000,Approved
416,3,Graduate,1,1700000,4600000,144,385,1700000,Rejected
417,0,Graduate,1,6100000,23300000,144,478,4900000,Rejected
418,1,Graduate,1,2100000,7700000,192,327,2300000,Rejected
419,0,Graduate,0,3100000,9300000,72,663,3800000,Approved
420,2,Not Graduate,1,1700000,3500000,240,693,1700000,Approved
421,3,Graduate,0,1700000,5400000,72,710,1700000,Approved
422,4,Not Graduate,1,4000000,14500000,72,711,4100000,Approved
423,5,Graduate,0,5600000,18400000,96,386,5600000,Rejected
424,4,Graduate,1,3900000,11900000,120,855,2800000,Approved
425,4,Graduate,1,6100000,15300000,168,573,8400000,Approved
426,0,Graduate,1,1100000,2800000,216,431,1400000,Rejected
427,2,Graduate,0,5500000,14800000,96,364,4500000,Rejected
428,4,Graduate,1,1100000,3600000,168,711,600000,Approved
429,4,Not Graduate,1,400000,900000,240,771,500000,Approved
430,3,Graduate,0,9200000,36400000,216,669,12300000,Approved
